index,id,created_at,text,author.id,author.created_at,author.username,author.location,author.public_metrics.followers_count,geo.full_name,public_metrics.like_count,public_metrics.retweet_count,sentiment
0,1090329992796520450,2019-01-29 19:25:02+00:00,See you Thursday and beyond...#veganuk #veganuary2019  #afflecksmanchester #recipes #ingredients @ The Mcr Vegan Cafe &amp; Wellbeing Centre https://t.co/LP1DGjjQXs,395226916,2011-10-21T10:23:53.000Z,3MT_Manchester,Manchester,7263,"Manchester, England",1,1,0.0
1,1090328480028467200,2019-01-29 19:19:01+00:00,Somebody is getting ready to Showcase some Fabulousness!! \nIt is Me @ajedgarartist with the Gang @unveiled_mag at the Luxury Space @fivefourstudios \nAlways #vegan Always #crueltyfree… https://t.co/AyzQetb1b7,555237127,2012-04-16T16:14:08.000Z,AJEdgarArtist,North East England,154,"Salford, England",0,0,0.7835
2,1090321110040805376,2019-01-29 18:49:44+00:00,Anyone know of indoor events on 16 and/or 17 February in NW England. Vegan or artisan or dog show .#event#indoor#manchester#lancashire#merseyside#VeganPoochyTreats,965898809946640384,2018-02-20T10:39:56.000Z,PoochyVegan,United Kingdom,97,"Manchester, England",1,0,0.0
4,1090306783841783809,2019-01-29 17:52:48+00:00,"@chrismotto7 @lauraalicia84 We’ve got plenty of more interesting vegetarian and vegan options, don’t you worry! We’ll find you on Saturday and talk you through them ✌🏼",19762514,2009-01-30T10:49:00.000Z,mughli,"Manchester, England",7047,"Manchester, England",0,0,0.0989
5,1090294405938978816,2019-01-29 17:03:37+00:00,"Wedding and festival season is nearly upon us and we CAN NOT WAIT! If you’ve got a corporate event, wedding or festival that needs some magical vegan goodness, then we’re your gals 🙋🏻‍♀️. Here’s our Sweet Potato and Aubergine Katsu Curry.\n\n#vegancaterer #vegancatering #veganwedding https://t.co/AAn8rt5mpC",818818384955580416,2017-01-10T13:54:50.000Z,WholesomeJunkie,"Manchester, England",2911,"Manchester, England",13,3,0.9134
6,1090222642706239488,2019-01-29 12:18:28+00:00,Shoutout to @HMPasties for the awesome vegan pasty at University Place!! ✨ https://t.co/E0ZVA4YQPe,58175376,2009-07-19T11:06:04.000Z,Interventi0n_,"Manchester, England",1209,"Manchester, England",2,0,0.6892
7,1090182081345474561,2019-01-29 09:37:17+00:00,The best no-bake sweet potato brownies - recipe coming soon... 🍫🍫🍫\n\n#vegan #Veganuary2019 #glutenfree #dairyfree #norefinedsugar https://t.co/63tbMiQkaY,219090869,2010-11-23T22:20:53.000Z,SpamellaB,Manchester,12175,"Manchester, England",0,0,0.802
8,1089989600796426241,2019-01-28 20:52:26+00:00,"Thailand is one of my favourite cuisines EVER! It’s really easy to find lots of vegan options and the street food is always the best. Here are some Okra and mushroom kebabs grilled, the sauce was what made these baby’s shine! Tangy, spicy, sweet, salty and taaaasty 👌🏻 https://t.co/sH0GYyaPgN",818818384955580416,2017-01-10T13:54:50.000Z,WholesomeJunkie,"Manchester, England",2911,"Manchester, England",6,2,0.8996
10,1089915795306614789,2019-01-28 15:59:09+00:00,@angelaissa66 @thedsggroup @Rosa_Red_ Can you truly be a vegan whilst ‘owning’ an animal? There’s a dissertation in there somewhere..,311436719,2011-06-05T13:05:41.000Z,Levybluemans,"Boston, MA",397,"Manchester, England",0,0,0.4404
11,1089878892029071361,2019-01-28 13:32:31+00:00,Last week of January #veganuary so I thought I’d share this little animation myself and @jhuson_ made for @vegsocapproved @vegsoc as they do a lot of great work and trademark products with the #vegetarian and #vegan logos 🥬🍓🥦🥕🍆🥔🥗 #meatfreemonday \nMade with @Plum_Marketing https://t.co/M10EvdMaTj,36325964,2009-04-29T09:56:45.000Z,SneakyRaccoon,"Stockport, England",5541,"Manchester, England",7,0,0.7624
12,1089877475155431425,2019-01-28 13:26:53+00:00,Me: I need to stop getting food at uni it’s so expensive and I can easily just make a packed lunch at home\n\nAlso me: OMG uni are doing vegan hot dogs take all my money now,4001305157,2015-10-20T10:28:50.000Z,micahscotttt,"Cupar, Scotland",3287,"Manchester, England",20,0,0.0516
13,1089577005891358725,2019-01-27 17:32:56+00:00,"@TheoPaphitis #SBS#VeganPoochyTreats#DogTreats#PlantBased. Today, despite the cold and the wind Vegan Poochy Treats were out at a market in Manchester. Lots of dogs love our healthy treats, even the very fussy dogs. #SBS#Dogs#Manchester#WorkingHard#Hoping https://t.co/AEIYET6uM4",965898809946640384,2018-02-20T10:39:56.000Z,PoochyVegan,United Kingdom,97,"Manchester, England",1,0,0.7845
14,1089563327322304513,2019-01-27 16:38:34+00:00,I made vegan cakes 😄 https://t.co/hqcxoakaIO,618507990,2012-06-25T20:55:10.000Z,leah_wells_,"Manchester, England",4697,"Manchester, England",4,0,0.0
15,1089534557697835014,2019-01-27 14:44:15+00:00,Cannot find a vegan sausage roll in Manchester anywhereee 😩,469560105,2012-01-20T18:43:29.000Z,caitlintweedy_,Newcastle/Manchester ,1645,"Manchester, England",0,0,0.0
16,1089468519840968704,2019-01-27 10:21:51+00:00,"That’s my second bottle of this little miracle from  @thebodyshopuk Drops of Youth - Youth Concentrate. Product is 100% vegan, dermatologically tested, enriched with community trade… https://t.co/h9H8FKmDMR",258562790,2011-02-28T00:31:44.000Z,el_martina,,1064,"Manchester, England",0,0,0.5434
17,1089280824284008448,2019-01-26 21:56:01+00:00,"I'm watching the Running For Good documentary about marathon / endurance runner @Marathonfiend. After winning the North Pole marathon, she was asked to appear on @BBCBreakfast, but only if she didn't mention that she's a #vegan. Pretty disappointed in the BBC.",14972252,2008-06-01T15:27:11.000Z,nonbeliever,Manchester,1243,"Manchester, England",1,0,0.5106
18,1089243231676706816,2019-01-26 19:26:38+00:00,"Tonight’s tipple and available soon at wearefoodwell 🍷 Signos de Origen, Carmenère – 2016 – D.O Valle del Colchagua, Chile 🇨🇱 #Vegan #Organic # Biodynamic – 14% abv - From world famous… https://t.co/FwkxEvzRwR",123782063,2010-03-17T05:56:06.000Z,MrPaulNewman,"Cheshire, UK",5047,"Salford, England",3,3,0.0
19,1089225139781287936,2019-01-26 18:14:44+00:00,#newfave #foodie #foodiesofinstagram #vegan #veganfood #friends ❤️ #delicious #deliciouslydifferent #unexpectedfriendships #catchup #sharedexperiences @allotmentvegan #positiveoutcomes @… https://t.co/XoU7wSSnOA,280139660,2011-04-10T18:31:15.000Z,Lou_Lou18,"Manchester, England",1173,"Manchester, England",0,1,0.0
20,1089216996397314048,2019-01-26 17:42:23+00:00,"My late -and only- contribution to veganiary: home made veggie sausage &amp; 5 been casserole, courtesy of my trusty slow cooker #veganuary #veganuary2019 #slowcooker #homecooking #vegan… https://t.co/hiY2hrUa1f",15192109,2008-06-21T19:42:18.000Z,MarcBramhill,"Salford, England",176,"Salford, England",0,1,0.6908
