index,id,created_at,text,author.id,author.created_at,author.username,author.location,author.public_metrics.followers_count,geo.full_name,public_metrics.like_count,public_metrics.retweet_count,sentiment
0,1089577616707895296,2019-01-27 17:35:21+00:00,"""Vegan chocolate"" in #Preston #UnitedKingdom https://t.co/2czsqCRWeu #foodwaste #free",824637752574488576,2017-01-26T15:18:56.000Z,WhatsOnOLIO,,1091,"Preston, England",0,0,0.0
1,1089316328438083584,2019-01-27 00:17:05+00:00,"#bowl food #party #21st #21stbirthday #glam #moroccan #vegan #tagine @highclassfood @jcocktail10 @ Preston, Lancashire https://t.co/feDxCqyFcl",1393032373,2013-04-30T20:43:27.000Z,highclassfood,"North West, England",114,"Preston, England",2,0,0.0
2,1088877546740039681,2019-01-25 19:13:32+00:00,#naturli #Veganuary2019 #Vegan #veganism #VeganBeauty #youarewhatyoueat \nVegan Chilli 🌱🌶 incoming! So tasty and #CrueltyFree 👌🏼 https://t.co/pWaR90hXP4,928718304646230016,2017-11-09T20:17:53.000Z,quigley_kirsty,"Preston, England",3536,"Preston, England",2,0,0.0
3,1088514098529292289,2019-01-24 19:09:19+00:00,"Amazing vegan burgers from Aldi. Highly recommend! @ Preston, Lancashire https://t.co/R91ab46DVz",135987218,2010-04-22T18:39:07.000Z,stainless2010,"Preston, UK",351,"Preston, England",1,0,0.7836
5,1085597925961596929,2019-01-16 18:01:29+00:00,"@marksandspencer @ChrisGPackham @CostaCoffee @eat_news @Delice_deFrance @Pret @WHSmith @_CaffeNero_ @WeAreVeganuary There was a Vegan sandwich over Christmas, I bought my daughter one. Think it was a seasonal thing though. And it was expensive.",293354078,2011-05-05T06:13:53.000Z,piedwarbler1,NW England ,935,"Leyland, England",0,0,0.0
7,1085297442889891845,2019-01-15 22:07:28+00:00,@DangerUnicornGO And vegan sausages rolls,27718101,2009-03-30T20:16:09.000Z,woodendoor,Lancashire,628,"Preston, England",0,0,0.0
8,1085290516193964032,2019-01-15 21:39:57+00:00,@CostaCoffee just wondering if you are ever going to have vegan options in your stores. I go to the cinema weekly and a  always left hungry cause there is nothing I can eat,879090181332193280,2017-06-25T21:33:26.000Z,MounseyJanet,"Preston, England",90,"Preston, England",0,0,0.0
9,1084825177194745864,2019-01-14 14:50:51+00:00,"PRESTON VEGAN MARKET is back this Sunday!\nHere at the PPL, entrance on Cannon Street\n#preston #vegan #Veganuary2019 #Veganuary #lancashire @LittleVeganUK @PrestonVegan @prestonvegans https://t.co/u6JHeKGtrV",1027505863186149376,2018-08-09T10:44:22.000Z,ppl_preston,"Preston, England",330,"Preston, England",3,2,0.0
10,1084091819024175106,2019-01-12 14:16:45+00:00,We're here at #etsy Wellbeing Market @ppl_preston for another couple of hours. Everything on the stall is vegan today. How about Kimchi Fried Rice and Katsu Curry for dinner? We've got plenty. See you soon. Peace and Love Kimchi. ❤️ #bestdinnerintown #vegan #koreanfood https://t.co/asvhptNj3c,969192850394177542,2018-03-01T12:49:17.000Z,LoveKimchiToGo,"333 Smithdown Road, Liverpool ",752,"Preston, England",2,1,0.7845
11,1084052315945033728,2019-01-12 11:39:47+00:00,Can confirm vegan sausage roll is peng,246888229,2011-02-03T17:32:29.000Z,iMacka,"Preston, England",188,"Preston, England",1,0,0.0
13,1082406084499959808,2019-01-07 22:38:15+00:00,@Iromg @michelrouxjr And not forgetting the vegan version(which tastes exactly the same of course) Balsamic Roasted Grapes. Yummy! https://t.co/dv8bZ1C2wJ,22002064,2009-02-26T12:11:33.000Z,Degreeday,Up North  on a Ducati,123,"Leyland, England",0,0,0.5707
14,1082252231095869447,2019-01-07 12:26:53+00:00,"Don’t use Andrex then say you’re a vegan, smh 🌱",2826073229,2014-10-12T20:43:07.000Z,max_cosgrave,"Lytham St. Annes, England",78,"Preston, England",0,0,-0.3182
16,1082185380365950976,2019-01-07 08:01:15+00:00,There’s no (vegan) bacon? https://t.co/N4zdXHPBU8,20252224,2009-02-06T17:08:38.000Z,kirstymacs,Many places,2087,"Higher Penwortham, England",0,0,-0.296
17,1082027896984748032,2019-01-06 21:35:28+00:00,Not gonna lie that vegan sausage roll looks nice,463048126,2012-01-13T17:22:56.000Z,n3rivpetal,Lancashire,196,"Preston, England",0,0,0.4215
