index,id,created_at,text,author.id,author.created_at,author.username,author.location,author.public_metrics.followers_count,geo.full_name,public_metrics.like_count,public_metrics.retweet_count,sentiment
223,1090397430187810816,2019-01-29 23:53:00+00:00,@MissBlackVelvet Sainsbury’s do loads of vegan stuff now. What a time!!!,18411486,2008-12-27T17:46:15.000Z,_IamKiya_,Manchesterrrrr init ,247,,1,0,0.0
721,1090392993608187905,2019-01-29 23:35:22+00:00,@mnimhiab Loads of cider is vegan you have been misinformed,379679121,2011-09-25T11:12:49.000Z,perfumedsecretx,"Manchester, England",1516,,0,0,-0.3818
2558,1090379776211255297,2019-01-29 22:42:51+00:00,@PakisRights If ur feeling a bit fancy there’s a place called kopps that is like posh pricey food at night but in the morning they do all you can eat vegan brunch and it is amaaaaaazing !,182922946,2010-08-25T18:42:29.000Z,biscoffbabe,"Manchester, England",11290,,1,0,0.3164
2624,1090379253068283907,2019-01-29 22:40:46+00:00,"#Greens  #labour  #PeoplesVote  #brexitshambles \nChlorinated chicken, growth hormone beef..\nProject fear from the vegan organisation.\nGammons still have faith. https://t.co/apD4hHqGKJ",2650194375,2014-06-28T13:49:13.000Z,Meish52,Manchester Britain,1762,,0,0,0.296
2690,1090378604704419841,2019-01-29 22:38:12+00:00,@DeborahMeaden Bloody hate these fad diets!!\n\nLow Carbohydrate diet. ...\n\nThe Zone diet. ...\n\nKetogenic diet. ...\n\nVegetarian diet. ...\n\nVegan diet. ...\n\nWeight Watchers diet. ...\n\nSouth Beach diet. ...\n\nRaw food diet...\n\nBrexit Diet...,562232663,2012-04-24T18:19:12.000Z,MrPeteEdwards,"Manchester, England",1348,,1,0,-0.7418
3412,1090373145830346753,2019-01-29 22:16:30+00:00,https://t.co/rDmwJQBBrh\nTell 3MT the name of this cake to win a £20 voucher for @McrVeganCentre #valentines evening. This year is a #vegan #Mediterranean #theme @3MT_Manchester @Afflecksfox,395226916,2011-10-21T10:23:53.000Z,3MT_Manchester,Manchester,7261,,1,0,0.5859
3510,1090372336698707968,2019-01-29 22:13:17+00:00,{GIVEAWAY} Win One Wesco Kickmaster retro styled 33 L bin. Enter here -  https://t.co/wEpkgqhv3p,122121036,2010-03-11T17:18:53.000Z,cheryl7003,"Manchester, England",1853,,0,0,0.5859
3617,1090371455462838272,2019-01-29 22:09:47+00:00,Jack made vegan mushroom and chorizo fajitas and they’re so peng I’m thinking about proposing???!,465914421,2012-01-16T21:32:15.000Z,xcxlucy,manchester / sheffield ,5476,,33,0,0.0
3678,1090370932038877184,2019-01-29 22:07:42+00:00,I’ve just entered @thefoodrush giveaway to win a hamper full of delicious #vegan treats. https://t.co/3F4PUEHpvf,122121036,2010-03-11T17:18:53.000Z,cheryl7003,"Manchester, England",1853,,0,0,0.8176
3803,1090370026425729024,2019-01-29 22:04:07+00:00,"Up on the blog, my review of @proovepizza in West Didsbury! This Verdure pizza is vegetarian but can also be made vegan and gluten free! #AD\n.\nNeapolitan pizzas have thin base and are therefore best eaten when you fold the entire pizza over and then eat … https://t.co/p4medXOWIB https://t.co/26DTFyiCCR",3224868671,2015-04-30T17:16:26.000Z,ElsaEats,"Manchester, England",1771,,2,0,0.9158
4350,1090365839226949632,2019-01-29 21:47:28+00:00,"@_cxtharsis Shit, go vegan",615367244,2012-06-22T17:33:07.000Z,Joseph_Kime,"Manchester, England",870,,0,0,-0.5574
4509,1090364621033222144,2019-01-29 21:42:38+00:00,Countdown to Valentine's Day ... check out this limited edition truly exotic bathtime treat on my website ... all vegan fresh ingredients include #tahitian #vanilla #coconut #ginger #monoi and #orangeflower https://t.co/6u0DSn7rZW,1089651718265163776,2019-01-27T22:29:49.000Z,dionnestsc,"Manchester, England",10,,0,0,0.698
5484,1090357695582998529,2019-01-29 21:15:07+00:00,@TipsySassenach Good job we’re not vegan.,186055955,2010-09-02T13:51:37.000Z,Floweries1,Manchester,1191,,1,0,0.4404
5505,1090357508059869184,2019-01-29 21:14:22+00:00,"#tacotuesday🌮 \nHome made #picodegallo #guacamole, mince with onions, red peppers and spices, avocado, shredded lettuce,  hellmannsmayonnaise vegan mayonnaise and @kokodairyfree coconut… https://t.co/gkmtyI3pUz",141695061,2010-05-08T19:31:05.000Z,her_ladyship,Manchester,331,,2,0,0.0
5671,1090356245230436364,2019-01-29 21:09:21+00:00,I’ve made this spicy chorizo vegan pasta thing bc I was bored but I’m not hungry 😣,833066072915968000,2017-02-18T21:30:04.000Z,ehb_x,Wales/Manchester ,330,,0,0,-0.1406
6362,1090352029002842112,2019-01-29 20:52:36+00:00,"@CrazyPedros Giuseppe’s not sloppy, he’s vegan 🌱 🍕 #veganuary https://t.co/ketkYyRPhU https://t.co/SxMNpw829d",963120388107636736,2018-02-12T18:39:29.000Z,veganmcr,"Manchester, England",145,,1,0,0.0
7324,1090345916131930112,2019-01-29 20:28:18+00:00,@ChrisGPackham @WeAreVeganuary Do the best you can #vegan #Veganuary,3368118729,2015-07-09T19:14:12.000Z,Dom_McCafferey,"Manchester, England",1608,,0,0,0.6369
7842,1090342152889135109,2019-01-29 20:13:21+00:00,‘ re vegan ‘ I’m crying 😭💀,499303352,2012-02-22T00:17:10.000Z,hollyshortall,Manchester via Dublin,33258,,11,0,-0.4767
8030,1090340635851325446,2019-01-29 20:07:19+00:00,The best vegan chicken burger and shake 👏🏼😩 Worth the drive 👏🏼👏🏼 https://t.co/TRPEDb5Eoe,1083490041127677952,2019-01-10T22:25:30.000Z,BLOGlizi,M14 Manchester,458,,0,0,0.6597
8370,1090338535440347136,2019-01-29 19:58:59+00:00,I really like this fact. Can we do it pls. I’m not vegan or anything I just don’t like humans 😊 https://t.co/F0WZe2Tqlx,2330656219,2014-02-06T18:03:29.000Z,reegansmith123,Manchester ,454,,3,0,0.7083
8821,1090334998195064832,2019-01-29 19:44:55+00:00,Vegan Spinach &amp; Cream Cheese Stuffed Pasta Shells - Crock-Pot Recipe - https://t.co/p2wMQQympx @tinnedtoms #vegan #recipe,122121036,2010-03-11T17:18:53.000Z,cheryl7003,"Manchester, England",1853,,0,0,0.0
9121,1090332256277798912,2019-01-29 19:34:01+00:00,Am I the only one that can’t tell the difference between the vegan and non vegan sausage rolls,800714116084043776,2016-11-21T14:54:56.000Z,malik_mattu,"Manchester, England",297,,1,0,0.0
9472,1090329502012657664,2019-01-29 19:23:05+00:00,"Keep calm and curry on!\n@bamburiuk's vegan massaman curry with a rich and midly spiced Thai curry sauce. Cooked to a simmer with organic butternut squash, potato and tofu, served with… https://t.co/mfp4BmCjq5",1012016615192453120,2018-06-27T16:55:38.000Z,bamburiuk,"Manchester, England",5,,0,0,0.7345
9743,1090327402696376320,2019-01-29 19:14:44+00:00,@AndrewGreaves84 @GreggsOfficial @AndrewGreaves84 I am a big meaty fan but these Vegan Sausage rolls were a big fat 9/10 on flavour and crispness with just the right amount of flake.\nI enjoyed it too.@mcwebbey and your welcome. They have always been sold out till now.,537666515,2012-03-26T23:44:36.000Z,mcwebbey,"Manchester, England",1069,,0,0,0.8779
11724,1090312617959272449,2019-01-29 18:15:59+00:00,@C_Anderson1998 A year ago you wouldent have even seen a vegan advert on tv or Veganism being spoken about as it is. Most Restaurants weren’t serving vegan options so anything can happen! 2019 is the year!!! We just need to keep up the activism and keep educating people 💚🌱,624286382,2012-07-02T02:33:13.000Z,RespectAllLife_,manchester,121,,2,0,0.0
11792,1090311941862707201,2019-01-29 18:13:18+00:00,"@juleknowsbetter @C_Anderson1998 That’s a good way to put it! I agree, I hope one day we will live in a world which is mostly vegan but for now we just have to educate and do what we do to get there 💁🏼‍♀️🌱",624286382,2012-07-02T02:33:13.000Z,RespectAllLife_,manchester,121,,0,0,0.6049
11853,1090311513641009152,2019-01-29 18:11:36+00:00,"managed to guilt myself into going to a salon that uses vegan products which is like,,, v expensive (: but i didn't wanna try doing it myself, that didn't go great last time skskdkd",2455504146,2014-04-20T20:51:01.000Z,ffxivcatboi,"23 | manchester, uk",42,,0,0,-0.5982
12050,1090310245879083014,2019-01-29 18:06:34+00:00,@m_chael Start vegetarian for a day then go vegan one day. Happy to give you tips ;),507375489,2012-02-28T13:29:30.000Z,chocolatine90,"Manchester, England",102,,1,0,0.6808
12529,1090306783841783809,2019-01-29 17:52:48+00:00,"@chrismotto7 @lauraalicia84 We’ve got plenty of more interesting vegetarian and vegan options, don’t you worry! We’ll find you on Saturday and talk you through them ✌🏼",19762514,2009-01-30T10:49:00.000Z,mughli,"Manchester, England",7049,"Manchester, England",0,0,0.0989
12560,1090306499581304832,2019-01-29 17:51:41+00:00,Can't get to work due to snow so @a_vegan_b00 has given me my birthday present early. A bit of WoW and then it's Resident Evil 2 time!,93002357,2009-11-27T16:43:37.000Z,BananaRaccoon,"Manchester, England",594,,1,0,-0.2244
13122,1090302167125237761,2019-01-29 17:34:28+00:00,Why is everyone so obsessed with mac and cheese? I swear I never ate it before I was vegan and now vegan versions are everywhere I look ???,251800174,2011-02-13T21:45:32.000Z,jessicajmarie_,"Manchester, England",443,,1,0,-0.5269
14027,1090296059241349120,2019-01-29 17:10:11+00:00,Finally mastered the art of making a delicious vegan lentil and chickpea curry and I’m so proud 🌱 🌱🌱🌱🌱🌱🌱🌱,210912396,2010-11-01T19:30:44.000Z,eleanor_garnett,Manchester/Yorkshire,606,,9,0,0.8267
14153,1090295099358146560,2019-01-29 17:06:23+00:00,"Hmm...I don’t know about this. All I can say is, I’m as left as you can be without being vegan, and I absolutely love what @cinestatement are producing at the moment. The alt-right are surely too busy watching YouTube conspiracy videos to even know about these film, anyway. https://t.co/Vzh7ZnxcYV",3325119040,2015-06-14T16:08:33.000Z,emsonline12,"Manchester, England",1401,,3,0,0.6115
