index,id,created_at,text,author.id,author.created_at,author.username,author.location,author.public_metrics.followers_count,geo.full_name,public_metrics.like_count,public_metrics.retweet_count,sentiment
25343,1090210395413979136,2019-01-29 11:29:48+00:00,"@andrewgentry_ @AmberSpong vegan patty, odds on",805288429,2012-09-05T20:04:59.000Z,elbeetham,London via Preston,1207,,1,0,0.0
27670,1090186004454129664,2019-01-29 09:52:52+00:00,"@RunnersKnees @J8mes_b @_jen_mo The Proper Ard Virtual HM is in July.\n\n£399\n\nIncludes virtual medal, virtual foam rolling, choice of routes, flexible start time, no cut offs, eco friendly event, choice of vegan or proper food after your run, free selfies and optional ""good morning"" from other runners",792865836876886016,2016-10-30T23:08:41.000Z,80percentvegan,"Preston, England",1809,,4,0,0.8779
57611,1089880366012342272,2019-01-28 13:38:22+00:00,just purchased a #vegan sausage roll from an independent boulangerie called #greggs,555278731,2012-04-16T17:16:24.000Z,lauraw97_,Preston,8260,,63,0,0.0
69612,1089725577370763265,2019-01-28 03:23:18+00:00,@adampacitti What ever it is I can't imagine it will go down well. The whole vegan thing is already rather tiresome imo.,195872811,2010-09-27T19:46:39.000Z,JAKWD95,"Preston, England",115,,0,0,0.2732
86773,1089574006863347713,2019-01-27 17:21:01+00:00,"@BootstrapCook And for your everyday lower budget there’s E.L.F, Barry M, GOSH, Lush.\n\nI tend to avoid Body Shop &amp; NYX, because even though they are v&amp;cf, they are still owned by L’Oreal, which is neither vegan nor cruelty free",150210098,2010-05-31T10:52:47.000Z,JennaferHolt,Preston / Manchester,547,,0,0,-0.8267
87428,1089568915238371331,2019-01-27 17:00:47+00:00,Most of us have some form of irrational fears. Mine involve dating. But are they irrational or relevant? And could a vegan actually kill me!\nhttps://t.co/LkudkTM1tq,21085250,2009-02-17T12:40:59.000Z,samsboringblog,Preston/Cork ,1737,,0,0,-0.9117
96421,1089477357977694208,2019-01-27 10:56:58+00:00,@JimmyBoo8 @ChrisGPackham @SolkikiChocolat @Golarainforest @Natures_Voice @WeAreVeganuary Can you eat a vegan diet without supplements?,302589027,2011-05-21T12:48:58.000Z,dazza2001,preston,16,,0,0,0.0
112733,1089270250707828742,2019-01-26 21:14:00+00:00,god’s way of punishing me for only lasting two weeks as a vegan,555278731,2012-04-16T17:16:24.000Z,lauraw97_,Preston,8260,,3,0,-0.5574
116071,1089239728250064901,2019-01-26 19:12:42+00:00,"Just tried the @MummyMeagz Rocky Road, Orange flavour. I'm not vegan, but if vegan food tastes as delicious as this, then I'm in! Easily the best, tastiest Rocky Road I've ever had. Time to try the other flavours 😊 #PiersMorganRawandTasteless",351155406,2011-08-08T21:31:46.000Z,Dinotizer,"Preston, UK",234,,0,0,0.9455
120234,1089203598347649024,2019-01-26 16:49:08+00:00,MY PLANT BASED ATHLETE 😍😍,215578162,2010-11-14T10:08:21.000Z,louishall_,Preston,505,,2,0,0.0
123726,1089173806604865538,2019-01-26 14:50:46+00:00,Vegan https://t.co/LsgBDEQ5vg,109833097,2010-01-30T12:34:44.000Z,ingolwhite,preston,1488,,0,0,0.0
125368,1089158327031025664,2019-01-26 13:49:15+00:00,"I'm surrounded by meat, but that vegan platter was so good, I don't feel like I've missed out in the slightest :)",16877845,2008-10-21T00:19:32.000Z,DisneyBirb,"Preston, England",669,,0,0,0.6855
125636,1089155951062667264,2019-01-26 13:39:48+00:00,Red's vegan platter was absolutely delightful &lt;3,16877845,2008-10-21T00:19:32.000Z,DisneyBirb,"Preston, England",669,,2,0,0.624
132578,1089078372410507264,2019-01-26 08:31:32+00:00,@BootstrapCook I’d love a vegan Thai green curry recipe! I’ve not found anything to replace fish sauce without it lacking taste/feeling like there’s something missing,150210098,2010-05-31T10:52:47.000Z,JennaferHolt,Preston / Manchester,547,,0,0,0.6996
149586,1088886346691817472,2019-01-25 19:48:30+00:00,@BootstrapCook Tripe and onions would be brilliant!  We've got a vegan board member who's been banging on about this for years.,892698966,2012-10-20T07:35:47.000Z,TripeUK,"Preston, Northumbria ",19121,,11,0,0.6239
150742,1088877546740039681,2019-01-25 19:13:32+00:00,#naturli #Veganuary2019 #Vegan #veganism #VeganBeauty #youarewhatyoueat \nVegan Chilli 🌱🌶 incoming! So tasty and #CrueltyFree 👌🏼 https://t.co/pWaR90hXP4,928718304646230016,2017-11-09T20:17:53.000Z,quigley_kirsty,"Preston, England",3542,"Preston, England",2,0,0.0
151572,1088871367980781570,2019-01-25 18:48:59+00:00,Yummy vegan mushroom pie from @marksandspencer tonight for tea. \nHave you tried yet @duramater1803 https://t.co/DUDvThVaBP,350782689,2011-08-08T09:16:07.000Z,stillill72,preston,751,,0,0,0.5267
159262,1088810721377435654,2019-01-25 14:47:59+00:00,@journo_request Any journalists looking a new health/beauty products? Unique new vegan friendly vitamin patches that slow release over 6-8 hours and help with everything from joint pain and hair growth to sleep. Named case studies available https://t.co/Ez0YmXbGNP #journorequest,80881798,2009-10-08T16:12:19.000Z,AndyTurnertweet,Preston,74,,0,0,0.7506
163174,1088774838871826433,2019-01-25 12:25:24+00:00,"My diet will not be compromised tomorrow despite going to Reds True BBQ, as I will be indulging in the vegan platter :)",16877845,2008-10-21T00:19:32.000Z,DisneyBirb,"Preston, England",669,,2,0,0.7003
168791,1088711417522470912,2019-01-25 08:13:23+00:00,@WWEDanielBryan The vegan king!! 😂,37435724,2009-05-03T15:29:02.000Z,Natalie_weasley,"Preston, England",206,,0,0,0.0
181061,1088556530440568832,2019-01-24 21:57:55+00:00,@simon_price01 Tell me a vegan meal,137857607,2010-04-27T23:59:18.000Z,j_sumner25,Preston,75,,1,0,0.0
186754,1088514098529292289,2019-01-24 19:09:19+00:00,"Amazing vegan burgers from Aldi. Highly recommend! @ Preston, Lancashire https://t.co/R91ab46DVz",135987218,2010-04-22T18:39:07.000Z,stainless2010,"Preston, UK",352,"Preston, England",1,0,0.7836
195274,1088446975840792577,2019-01-24 14:42:36+00:00,@GreggsOfficial can you order about a million more vegan rolls for your stores. Not tried one yet because they’ve been sold out every time 😂,299770518,2011-05-16T17:08:19.000Z,R_A_B_M_,Preston,266,,0,0,0.0
196509,1088435473918382080,2019-01-24 13:56:53+00:00,The Quorn vegan chicken and ham slices are both amazing wtf. This has been a tweet.,410723063,2011-11-12T13:43:21.000Z,CoryRocker,"Preston, England",1447,,3,0,0.0
203835,1088348182625566720,2019-01-24 08:10:01+00:00,"@vegsoc Feels like some companies jumping on the vegan trend are just amending, replacing or reducing the vegetarian dishes rather than increasing choice and adding more vegan options, recently experienced this at @PizzaExpress and now @marksandspencer dine-in",110481819,2010-02-01T18:11:19.000Z,EmmaHslwd,"Preston, Lancashire, UK",1582,,0,0,0.3612
204033,1088345720950874114,2019-01-24 08:00:15+00:00,"Gutted @marksandspencer the dine in doesn’t have a vegetarian main, I love the aubergine dish you usually include and the vegan option isn’t great to share or value for money especially when compared to other options please add another option please https://t.co/MP2ok6EZVu",110481819,2010-02-01T18:11:19.000Z,EmmaHslwd,"Preston, Lancashire, UK",1582,,1,0,0.9477
222417,1088164647923007488,2019-01-23 20:00:43+00:00,Beechs Chocolate offers a wide range of #vegan #chocolates so you can jump into #Veganuary with a smile!\nhttps://t.co/nqjOEtSx3B https://t.co/42VthpLexi,1728651895,2013-09-04T12:32:20.000Z,BeechsChocolate,"Preston, Lancashire",10122,,3,0,0.0
227258,1088133070178447361,2019-01-23 17:55:15+00:00,@TheCooksCook None of the above. I’m a vegan.,1127009540,2013-01-28T04:37:44.000Z,Tonya_Aria,"Prestonsburg, KY",556,"Prestonsburg, KY",0,0,0.0
237470,1088055870515228672,2019-01-23 12:48:29+00:00,@FootyAccums Or he could mistake the actual sausage roll for a vegan sausage roll and he will stay away for life! 🤮🤣,20282379,2009-02-06T23:33:33.000Z,MUFC_CPC1985,"Preston, lancs",910,,0,0,-0.4003
242912,1087995835504357377,2019-01-23 08:49:55+00:00,@piersmorgan Oh grow up for the love of god! At least you don’t have to go vegan! 🌱 https://t.co/OmDoaCMGlj,2771707116,2014-08-26T23:54:27.000Z,shellsiewoo,"Preston, England",476,,0,0,0.7835
248526,1087912669758267397,2019-01-23 03:19:27+00:00,"I’ve come to the conclusion that I loathe labels. Vegan is one label I’ll accept. No religious or political identifiers, for example. I travel various paths. I’m independent, and my ideology is complex. You can’t put me in a box.",1127009540,2013-01-28T04:37:44.000Z,Tonya_Aria,"Prestonsburg, KY",556,"Prestonsburg, KY",1,0,-0.4215
264828,1087763556177793026,2019-01-22 17:26:56+00:00,@pamfoundation Is it time to turn vegan Pam ?,1079303591222001665,2018-12-30T09:10:03.000Z,AlanLlo59942655,"Preston, England",25,,0,0,0.0
290468,1087472387254300673,2019-01-21 22:09:56+00:00,Vegan life... https://t.co/fCb4jRE6LX,310542345,2011-06-03T22:58:59.000Z,Jordy_Dash,"Preston, Lancashire",1036,,0,0,0.0
297964,1087409821232566272,2019-01-21 18:01:19+00:00,Most of us have some form of irrational fears. Mine involve dating. But are they irrational or relevant? And could a vegan actually kill me!\nhttps://t.co/LkudkTM1tq,21085250,2009-02-17T12:40:59.000Z,samsboringblog,Preston/Cork ,1737,,0,0,-0.9117
