index,id,created_at,text,author.id,author.created_at,author.username,author.location,author.public_metrics.followers_count,geo.full_name,public_metrics.like_count,public_metrics.retweet_count,sentiment
2,1082788995535462400,2019-01-08 23:59:48+00:00,Blessing be upon @GreggsOfficial for their Vegan sausage roll is a thing of beauty,18679901,2009-01-06T15:40:17.000Z,DavidGArnold,london,56989,,26,1,0.7906
3,1082788984542027776,2019-01-08 23:59:45+00:00,The Most Underrated Podcast w/ @DalPaolantonio Episode 34 is LIVE! Our new sponsor @PureSpectrumCBD + @NFL Playoffs + @stockx Tax Increase + Going Vegan with @BeyondMeat + Slobby Robby &amp; Generation Cool + Your YouTube Comments &amp; More! (Also on iTunes &amp; SC)\nhttps://t.co/BXvT4MhnH7 https://t.co/XZBSNoXxdd,197307558,2010-10-01T04:24:27.000Z,oMgitsTTF,A Mile Higher Than The Rest...,2661,,18,4,0.6351
7,1082788970411499520,2019-01-08 23:59:42+00:00,@VeganBlogger78 @Vegansorrel @VeganOlive1 @WTelfordHerald @VegansUK @AnimalAidFayre @VeganEventsUK @VegfestUK @vivacampaigns @WMVeganFestival @AnimalAid @plantbased_live @veganlifelive You can find most of the events from 2018 at https://t.co/9UUMGNxRk4 . click through to each to find social media tags &amp; contact info,64096842,2009-08-09T02:53:08.000Z,veggiesnottm,"Nottingham, UK",4676,,4,1,0.0
8,1082788955362377728,2019-01-08 23:59:38+00:00,making homemade pull-apart vegan cinnamon rolls &amp; they look sooooo good😍,381268670,2011-09-28T01:25:31.000Z,glowyaquarius,Eden,13577,,49,0,0.0
12,1082788946810150912,2019-01-08 23:59:36+00:00,@Maolfarmiona @Fluffy_Moos Love a vegan cow!,297887271,2011-05-13T09:01:47.000Z,RareBreedsScot,NE Scotland,824,,0,0,0.6696
15,1082788917760454656,2019-01-08 23:59:29+00:00,"@ToriAprilPerry_ @thatlilvegan Look heres the deal: I dont mind vegans. If you want to be vegan, thats fine. Congrats to you. But when it comes to bashing meat eaters and just being hateful to them and trying to dictate their life, thats where it becomes so incredibly wrong. Forreal.",928403752738058240,2017-11-08T23:27:58.000Z,__kayyxxx23__,,165,,0,0,-0.3338
21,1082788900664266753,2019-01-08 23:59:25+00:00,《ビューティ・ヘルス》動物性の素材を一切使用しないブランドによる「Vegan Fashion We… https://t.co/LiPVnCMOuZ https://t.co/79FcaZy4ND #ビューティー #コスメ #ジュエリー #ダイエット #美容,224846560,2010-12-10T00:59:51.000Z,BeautyJpn,TokyoJapan,712,,0,0,0.0
41,1082788800953307136,2019-01-08 23:59:02+00:00,Impossible Foods updates its plant-based meat recipe https://t.co/v97hkrwuCj via @YouTube,3193368491,2015-04-22T04:22:29.000Z,nyc2pnw,,316,,0,0,0.0
46,1082788751305109504,2019-01-08 23:58:50+00:00,"4 lifestyle changes can 'undo' damage to your body, book claims on ⁦⁦@GMA⁩ today with ⁦@DeanOrnishMD⁩ ⁦@OrnishLifestyle⁩ 🏃‍♀️🕉🧘‍♀️🌱💜 #yoga #meditation #exercise #plantbased #vegetarian #vegan #undoit #ornish   https://t.co/v17PvipNgI",23411514,2009-03-09T07:03:29.000Z,sunlightyoga,"Bay Area, CA",1942,,5,2,-0.4939
49,1082788732992933889,2019-01-08 23:58:45+00:00,"So Many Meat and Dairy Farmers Are Going Vegan, There's an Entire Website Dedicated to Their Stories https://t.co/WrcaxGYI1x",36555319,2009-04-30T01:42:17.000Z,skyblueboston,Massachusetts,212,,0,0,0.4588
